date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2026%20Apr%202022%2001:13:19%20GMT	http://obanksimulator.ngpf.org/transfer-money.php	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/transfer-money.0.delayed	(from )
20:11:54	11457/11457	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2001:13:20%20GMT	http://obanksimulator.ngpf.org/index.php	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/index.html	(from )
20:11:55	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2001:13:21%20GMT	http://obanksimulator.ngpf.org/robots.txt		(from )
20:11:55	37414/37414	---M--	200	added ('OK')	text/css	etag:%225dedf00a-9226%22	http://obanksimulator.ngpf.org/css/font-awesome.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/css/font-awesome.css	(from http://obanksimulator.ngpf.org/index.php)
20:11:57	17604/17604	---M--	200	added ('OK')	text/css	etag:%225dedf00a-44c4%22	http://obanksimulator.ngpf.org/css/select2.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/css/select2.css	(from http://obanksimulator.ngpf.org/index.php)
20:11:59	121200/121200	---M--	200	added ('OK')	text/css	etag:%225dedf00a-1d970%22	http://obanksimulator.ngpf.org/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/css/bootstrap.min.css	(from http://obanksimulator.ngpf.org/index.php)
20:12:00	26611/26611	---M--	200	added ('OK')	text/css	etag:%225dedf00a-67f3%22	http://obanksimulator.ngpf.org/css/mainstyle.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/css/mainstyle.css	(from http://obanksimulator.ngpf.org/index.php)
20:12:02	4001/4001	---M--	200	added ('OK')	text/css	etag:%225dedf00a-fa1%22	http://obanksimulator.ngpf.org/css/responsive.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/css/responsive.css	(from http://obanksimulator.ngpf.org/index.php)
20:12:02	1660/1660	---M--	200	added ('OK')	text/css	etag:%225dedf074-67c%22	http://obanksimulator.ngpf.org/administrator/plugins/iCheck/minimal/orange.css	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/administrator/plugins/iCheck/minimal/orange.css	(from http://obanksimulator.ngpf.org/index.php)
20:12:02	36122/36122	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed1-8d1a%22	https://cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/7.0.9/sweetalert2.css	/storage/emulated/0/HTTrack/Websites/obank/cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/7.0.9/sweetalert2.css	(from http://obanksimulator.ngpf.org/index.php)
20:12:05	29342/29342	---M--	200	added ('OK')	application/javascript	etag:%225dedf00e-729e%22	http://obanksimulator.ngpf.org/js/modernizr.custom.97554.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/js/modernizr.custom.97554.js	(from http://obanksimulator.ngpf.org/index.php)
20:12:05	5347/5347	---M--	200	added ('OK')	image/png	etag:%225dedf00c-14e3%22	http://obanksimulator.ngpf.org/images/NGPF-logo.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/NGPF-logo.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:06	14548/14548	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2001:13:32%20GMT	http://obanksimulator.ngpf.org/register.php	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/register.html	(from http://obanksimulator.ngpf.org/index.php)
20:12:06	1497/1497	---M--	200	added ('OK')	image/png	etag:%225dedf00c-5d9%22	http://obanksimulator.ngpf.org/images/register-icon.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/register-icon.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:07	4368/4368	---M--	200	added ('OK')	image/png	etag:%225dedf00d-1110%22	http://obanksimulator.ngpf.org/images/work-icon01.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/work-icon01.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:08	1885/1885	---M--	200	added ('OK')	image/png	etag:%225dedf00d-75d%22	http://obanksimulator.ngpf.org/images/work-icon02.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/work-icon02.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:09	2381/2381	---M--	200	added ('OK')	image/png	etag:%225dedf00d-94d%22	http://obanksimulator.ngpf.org/images/work-icon03.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/work-icon03.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:10	4464/4464	---M--	200	added ('OK')	image/png	etag:%225dedf00d-1170%22	http://obanksimulator.ngpf.org/images/work-icon04.png	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/images/work-icon04.png	(from http://obanksimulator.ngpf.org/index.php)
20:12:18	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%225dedf00e-90b5%22	http://obanksimulator.ngpf.org/js/bootstrap.min.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/js/bootstrap.min.js	(from http://obanksimulator.ngpf.org/index.php)
20:12:20	95957/95957	---M--	200	added ('OK')	application/javascript	etag:%225dedf00e-176d5%22	http://obanksimulator.ngpf.org/js/jquery-1.11.3.min.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/js/jquery-1.11.3.min.js	(from http://obanksimulator.ngpf.org/index.php)
20:12:22	66606/66606	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fcb-1042e%22	https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.5/js/select2.min.js	/storage/emulated/0/HTTrack/Websites/obank/cdnjs.cloudflare.com/ajax/libs/select2/4.0.5/js/select2.min.js	(from http://obanksimulator.ngpf.org/index.php)
20:16:34	11706/11706	---M--	200	added ('OK')	application/javascript	etag:%225dedf00e-2dba%22	http://obanksimulator.ngpf.org/js/jquery.matchHeight.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/js/jquery.matchHeight.js	(from http://obanksimulator.ngpf.org/index.php)
20:16:36	13770/13770	---M--	200	added ('OK')	application/javascript	etag:%225dedf00e-35ca%22	http://obanksimulator.ngpf.org/js/customjs.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/js/customjs.js	(from http://obanksimulator.ngpf.org/index.php)
20:16:36	4516/4516	---M--	200	added ('OK')	application/javascript	etag:%225dedf03b-11a4%22	http://obanksimulator.ngpf.org/administrator/plugins/iCheck/icheck.min.js	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/administrator/plugins/iCheck/icheck.min.js	(from http://obanksimulator.ngpf.org/index.php)
20:16:37	57343/57343	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed1-dfff%22	https://cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/7.0.9/sweetalert2.js	/storage/emulated/0/HTTrack/Websites/obank/cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/7.0.9/sweetalert2.js	(from http://obanksimulator.ngpf.org/index.php)
20:16:53	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225dedf00b-12d68%22	http://obanksimulator.ngpf.org/fonts/fontawesome-webfont.woff2?v=4.7.0	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/fonts/fontawesome-webfont3e6e.woff2	(from http://obanksimulator.ngpf.org/css/font-awesome.css)
20:16:57	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225dedf00b-17ee8%22	http://obanksimulator.ngpf.org/fonts/fontawesome-webfont.woff?v=4.7.0	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/fonts/fontawesome-webfont3e6e.woff	(from http://obanksimulator.ngpf.org/css/font-awesome.css)
20:17:03	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225dedf00b-2876e%22	http://obanksimulator.ngpf.org/fonts/fontawesome-webfont.eot?v=4.7.0	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/fonts/fontawesome-webfont3e6e.eot	(from http://obanksimulator.ngpf.org/css/font-awesome.css)
20:17:06	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225dedf00b-2876e%22	http://obanksimulator.ngpf.org/fonts/fontawesome-webfont.eot?	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/fonts/fontawesome-webfontd41d.eot	(from http://obanksimulator.ngpf.org/css/font-awesome.css)
20:17:14	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225dedf00b-286ac%22	http://obanksimulator.ngpf.org/fonts/fontawesome-webfont.ttf?v=4.7.0	/storage/emulated/0/HTTrack/Websites/obank/obanksimulator.ngpf.org/fonts/fontawesome-webfont3e6e.ttf	(from http://obanksimulator.ngpf.org/css/font-awesome.css)
